Day,Imports,MW,SG,Deaths
2020/04/01,20,0,54,0
2020/04/02,8,0,41,1
2020/04/03,0,0,65,1
2020/04/04,6,0,69,1
2020/04/05,4,0,116,0
2020/04/06,1,24,41,0
2020/04/07,3,39,64,0
2020/04/08,2,40,100,0
2020/04/09,3,202,82,0
2020/04/10,0,79,119,1
2020/04/11,0,51,141,1
2020/04/12,0,141,92,0
2020/04/13,0,280,106,1
2020/04/14,0,198,136,1
2020/04/15,0,404,43,0
2020/04/16,0,654,74,0
2020/04/17,1,558,64,1
2020/04/18,0,893,49,0
2020/04/19,0,544,52,0
2020/04/20,0,1369,57,0
2020/04/21,0,1050,61,0
2020/04/22,0,967,49,1
2020/04/23,0,1037,55,0
2020/04/24,0,853,44,0
2020/04/25,0,597,21,0
2020/04/26,2,886,43,0
2020/04/27,0,764,35,2
2020/04/28,0,511,17,0
2020/04/29,0,660,30,0
2020/04/30,0,488,12,1
2020/05/01,0,905,27,1
2020/05/02,0,431,16,1
2020/05/03,0,626,31,1
2020/05/04,0,560,13,0
2020/05/05,0,605,27,0
2020/05/06,0,759,29,2
2020/05/07,0,725,16,0
2020/05/08,0,750,18,0
2020/05/09,0,739,14,0
2020/05/10,1,860,15,0
2020/05/11,10,481,5,1
2020/05/12,0,877,7,0
2020/05/13,0,671,4,0
2020/05/14,0,750,2,0
2020/05/15,0,791,2,0
2020/05/16,0,457,8,1
2020/05/17,0,673,5,0
2020/05/18,0,303,2,0
2020/05/19,0,450,1,0
2020/05/20,0,562,8,0
2020/05/21,0,434,14,1
2020/05/22,0,610,4,0
2020/05/23,0,631,11,0
2020/05/24,0,544,4,0
2020/05/25,0,338,6,0
2020/05/26,0,381,2,0
2020/05/27,0,529,4,0
2020/05/28,0,372,1,0
2020/05/29,0,602,9,0
2020/05/30,0,501,5,0
2020/05/31,0,518,2,0
2020/06/01,0,408,0,1
2020/06/02,0,540,4,0
2020/06/03,0,569,7,0
2020/06/04,0,502,15,0
2020/06/05,0,250,11,0
2020/06/06,0,337,7,1
2020/06/07,0,369,14,0
2020/06/08,0,384,2,0
2020/06/09,0,212,6,0
2020/06/10,0,444,7,0
2020/06/11,0,416,5,0
2020/06/12,0,445,18,0
2020/06/13,0,342,5,1
2020/06/14,1,397,9,0
2020/06/15,0,211,3,0
2020/06/16,0,149,2,0
2020/06/17,0,242,5,0
2020/06/18,0,253,4,0
2020/06/19,0,141,1,0
2020/06/20,0,216,2,0
2020/06/21,0,252,10,0
2020/06/22,0,217,1,0
2020/06/23,0,116,3,0
2020/06/24,0,184,7,0
2020/06/25,0,108,5,0
2020/06/26,0,213,6,0
2020/06/27,0,280,11,0
2020/06/28,0,202,11,0
2020/06/29,0,196,6,0
2020/06/30,1,240,5,0
2020/07/01,4,201,10,0
2020/07/02,1,177,10,0
2020/07/03,3,155,11,0
2020/07/04,1,175,9,0
2020/07/05,7,111,18,0
2020/07/06,3,157,23,0
2020/07/07,3,134,20,0
2020/07/08,3,146,9,0
2020/07/09,1,103,21,0
2020/07/10,1,174,16,0
2020/07/11,1,145,24,0
2020/07/12,1,176,1,0
2020/07/13,5,306,11,0
2020/07/14,2,338,7,1
2020/07/15,5,229,15,0
2020/07/16,4,233,11,0
2020/07/17,3,315,9,0
2020/07/18,8,187,7,0
2020/07/19,5,244,8,0
2020/07/20,2,110,11,0
2020/07/21,3,387,9,0
2020/07/22,6,297,7,0
2020/07/23,5,341,8,0
2020/07/24,2,272,3,0
2020/07/25,6,505,2,0
2020/07/26,4,472,5,0
2020/07/27,15,452,2,0
2020/07/28,2,356,1,0
2020/07/29,4,327,3,0
2020/07/30,4,270,4,0
2020/07/31,3,390,3,0
2020/08/01,5,301,1,0
2020/08/02,5,307,1,0
2020/08/03,9,216,1,0
2020/08/04,7,286,2,0
2020/08/05,4,903,1,0
2020/08/06,4,293,4,0
2020/08/07,6,235,1,0
2020/08/08,6,125,1,0
2020/08/09,3,171,1,0
2020/08/10,12,175,1,0
2020/08/11,3,56,2,0
2020/08/12,11,30,1,0
2020/08/13,6,91,5,0
2020/08/14,4,79,0,0
2020/08/15,16,62,3,0
2020/08/16,6,78,2,0
2020/08/17,6,85,0,0
2020/08/18,2,97,1,0
2020/08/19,6,85,2,0
2020/08/20,2,66,0,0
2020/08/21,13,98,6,0
2020/08/22,5,43,2,0
2020/08/23,13,73,1,0
2020/08/24,7,43,1,0
2020/08/25,1,30,0,0
2020/08/26,10,47,3,0
2020/08/27,5,70,2,0
2020/08/28,10,80,4,0
2020/08/29,3,47,1,0
2020/08/30,7,39,8,0
2020/08/31,7,31,3,0
2020/09/01,7,32,1,0
2020/09/02,3,43,3,0
2020/09/03,5,41,2,0
2020/09/04,3,37,0,0
2020/09/05,2,29,3,0
2020/09/06,13,23,4,0
2020/09/07,3,18,1,0
2020/09/08,1,46,0,0
2020/09/09,14,60,1,0
2020/09/10,6,55,2,0
2020/09/11,13,73,0,0
2020/09/12,10,28,4,0
2020/09/13,8,40,1,0
2020/09/14,5,43,0,0
2020/09/15,6,28,0,0
2020/09/16,2,23,2,0
2020/09/17,2,15,1,0
2020/09/18,1,9,1,0
2020/09/19,5,9,1,0
2020/09/20,4,13,1,0
2020/09/21,9,22,0,0
2020/09/22,1,20,0,0
2020/09/23,4,7,1,0
2020/09/24,5,10,0,0
2020/09/25,2,9,0,0
2020/09/26,5,0,1,0
2020/09/27,5,10,0,0
2020/09/28,6,7,2,0
2020/09/29,9,17,1,0
2020/09/30,4,16,3,0
2020/10/01,15,3,1,0
2020/10/02,5,4,1,0
2020/10/03,4,1,1,0
2020/10/04,6,4,2,0
2020/10/05,1,5,1,0
2020/10/06,4,5,2,0
2020/10/07,6,4,0,0
2020/10/08,5,4,0,0
2020/10/09,9,1,0,0
2020/10/10,5,1,1,0
2020/10/11,7,3,0,0
2020/10/12,2,1,1,1
2020/10/13,4,0,0,0
2020/10/14,3,0,2,0
2020/10/15,2,1,0,0
2020/10/16,8,1,0,0
2020/10/17,1,1,1,0
2020/10/18,5,1,1,0
2020/10/19,4,0,0,0
2020/10/20,4,2,0,0
2020/10/21,12,0,0,0
2020/10/22,7,1,0,0
2020/10/23,10,0,0,0
2020/10/24,11,1,2,0
2020/10/25,3,2,0,0
2020/10/26,2,1,0,0
2020/10/27,6,0,1,0
2020/10/28,0,0,0,0
2020/10/29,7,0,0,0
2020/10/30,7,1,1,0
2020/10/31,12,0,0,0
2020/11/01,4,0,0,0
2020/11/02,1,0,0,0
2020/11/03,7,2,0,0
2020/11/04,5,2,0,0
2020/11/05,6,0,1,0
2020/11/06,4,0,0,0
2020/11/07,7,0,0,0
2020/11/08,0,0,0,0
2020/11/09,8,0,0,0
2020/11/10,7,0,1,0
2020/11/11,18,0,0,0
2020/11/12,11,0,0,0
2020/11/13,12,0,0,0
2020/11/14,2,0,0,0
2020/11/15,3,0,0,0
2020/11/16,5,0,0,0
2020/11/17,6,0,0,0
2020/11/18,5,0,0,0
2020/11/19,4,0,0,0
2020/11/20,4,0,0,0
2020/11/21,5,0,0,0
2020/11/22,12,0,0,0
2020/11/23,5,0,0,0
2020/11/24,18,0,0,0
2020/11/25,7,0,0,0
2020/11/26,4,0,1,0
2020/11/27,4,0,0,0
2020/11/28,5,0,1,1
2020/11/29,7,0,1,0
2020/11/30,12,0,0,0
2020/12/01,8,1,1,0
2020/12/02,2,0,0,0
2020/12/03,8,1,0,0
2020/12/04,3,0,0,0
2020/12/05,12,1,0,0
2020/12/06,5,0,0,0
2020/12/07,13,0,0,0
2020/12/08,12,0,0,0
2020/12/09,6,0,0,0
2020/12/10,6,0,0,0
2020/12/11,7,1,0,0
2020/12/12,8,0,0,0
2020/12/13,7,0,0,0
2020/12/14,5,0,0,0
2020/12/15,15,1,0,0
2020/12/16,12,0,0,0
2020/12/17,24,0,0,0
2020/12/18,9,0,0,0
2020/12/19,17,0,0,0
2020/12/20,19,0,0,0
2020/12/21,9,0,1,0
2020/12/22,29,0,0,0
2020/12/23,21,0,0,0
2020/12/24,13,0,0,0
2020/12/25,14,0,0,0
2020/12/26,10,0,0,0
2020/12/27,5,0,0,0
2020/12/28,4,0,1,0
2020/12/29,13,0,0,0
2020/12/30,26,0,1,0
2020/12/31,25,0,5,0
2021/01/01,27,0,3,0
2021/01/02,33,0,0,0
2021/01/03,35,0,0,0
2021/01/04,24,0,0,0
2021/01/05,26,0,2,0
2021/01/06,29,0,2,0
2021/01/07,31,0,2,0
2021/01/08,21,0,2,0
2021/01/09,29,0,0,0
2021/01/10,42,0,0,0
2021/01/11,22,0,0,0
2021/01/12,17,0,0,0
2021/01/13,37,1,0,0
2021/01/14,44,0,1,0
2021/01/15,29,0,1,0
2021/01/16,19,1,4,0
2021/01/17,28,0,2,0
2021/01/18,12,0,2,0
2021/01/19,26,0,4,0
2021/01/20,36,0,4,0
2021/01/21,34,0,4,0
2021/01/22,14,0,1,0
2021/01/23,10,0,0,0
2021/01/24,48,0,0,0
2021/01/25,44,0,0,0
2021/01/26,14,0,0,0
2021/01/27,25,0,0,0
2021/01/28,34,0,0,0
2021/01/29,24,0,0,0
2021/01/30,55,0,3,0
2021/01/31,29,0,0,0
2021/02/01,29,0,0,0
2021/02/02,19,0,0,0
2021/02/03,17,0,1,0
2021/02/04,22,0,0,0
2021/02/05,23,1,1,0
2021/02/06,26,0,0,0
2021/02/07,23,0,1,0
2021/02/08,20,0,2,0
2021/02/09,11,0,0,0
2021/02/10,14,1,0,0
2021/02/11,9,0,3,0
2021/02/12,16,0,2,0
2021/02/13,9,0,0,0
2021/02/14,14,0,0,0
2021/02/15,9,0,0,0
2021/02/16,1,0,0,0
2021/02/17,10,0,1,0
2021/02/18,11,0,0,0
2021/02/19,14,0,0,0
2021/02/20,12,0,0,0
2021/02/21,11,0,0,0
2021/02/22,9,0,1,0
2021/02/23,3,1,0,0
2021/02/24,6,0,1,0
2021/02/25,8,0,2,0
2021/02/26,13,0,0,0
2021/02/27,12,0,0,0
2021/02/28,10,1,0,0
2021/03/01,12,0,0,0
2021/03/02,8,0,0,0
2021/03/03,21,0,2,0
2021/03/04,18,0,1,0
2021/03/05,9,0,0,0
2021/03/06,12,0,1,0
2021/03/07,13,0,0,0
2021/03/08,13,0,0,0
2021/03/09,6,0,0,0
2021/03/10,10,0,0,0
2021/03/11,7,0,1,0
2021/03/12,9,0,1,0
2021/03/13,8,0,0,1
2021/03/14,17,0,0,0
2021/03/15,12,0,0,0
2021/03/16,11,0,0,0
2021/03/17,9,0,0,0
2021/03/18,15,0,0,0
2021/03/19,15,0,0,0
2021/03/20,17,0,0,0
2021/03/21,12,0,0,0
2021/03/22,12,0,0,0
2021/03/23,13,0,0,0
2021/03/24,15,0,0,0
2021/03/25,17,0,0,0
2021/03/26,11,0,1,0
2021/03/27,22,0,1,0
2021/03/28,12,0,0,0
2021/03/29,21,0,0,0
2021/03/30,26,0,0,0
2021/03/31,33,0,1,0
2021/04/01,26,0,0,0
2021/04/02,43,0,0,0
2021/04/03,17,0,1,0
2021/04/04,10,0,0,0
2021/04/05,17,0,0,0
2021/04/06,24,0,0,0
2021/04/07,34,0,1,0
2021/04/08,21,0,0,0
2021/04/09,26,0,0,0
2021/04/10,21,0,0,0
2021/04/11,19,1,0,0
2021/04/12,25,0,0,0
2021/04/13,14,0,0,0
2021/04/14,26,0,1,0
2021/04/15,16,0,0,0
2021/04/16,32,0,2,0
2021/04/17,35,0,4,0
2021/04/18,22,0,1,0
2021/04/19,19,0,1,0
2021/04/20,13,1,0,0
2021/04/21,14,0,1,0
2021/04/22,22,1,1,0
2021/04/23,36,1,2,0
2021/04/24,18,0,5,0
2021/04/25,40,0,0,0
2021/04/26,43,1,1,0
2021/04/27,11,0,1,0
2021/04/28,20,0,3,0
2021/04/29,19,0,16,0
2021/04/30,15,0,9,0
2021/05/01,25,2,7,1
2021/05/02,25,0,14,0
2021/05/03,7,0,10,0
2021/05/04,12,0,5,0
2021/05/05,15,0,1,0
2021/05/06,16,0,2,0
2021/05/07,21,0,4,0
2021/05/08,13,0,7,0
2021/05/09,18,0,10,0
2021/05/10,16,0,3,0
2021/05/11,12,0,13,0
2021/05/12,6,0,10,0
2021/05/13,10,0,24,0
2021/05/14,28,0,24,0
2021/05/15,12,0,19,0
2021/05/16,11,0,38,0
2021/05/17,7,0,21,0
2021/05/18,11,0,27,0
2021/05/19,4,0,34,0
2021/05/20,14,0,27,1
2021/05/21,10,0,30,0
2021/05/22,7,0,22,0
2021/05/23,3,1,21,0
2021/05/24,12,0,24,0
2021/05/25,9,3,18,0
2021/05/26,2,1,23,0
2021/05/27,9,1,14,0
2021/05/28,15,0,15,0
2021/05/29,10,0,23,0
2021/05/30,6,0,19,0
2021/05/31,7,0,16,0
2021/06/01,3,0,15,0
2021/06/02,7,0,24,0
2021/06/03,10,0,35,0
2021/06/04,6,0,7,0
2021/06/05,5,0,13,0
2021/06/06,14,0,6,0
2021/06/07,9,0,5,0
2021/06/08,5,0,3,0
2021/06/09,4,0,2,0
2021/06/10,9,0,4,0
2021/06/11,6,0,3,0
2021/06/12,9,0,9,0
2021/06/13,3,0,10,0
2021/06/14,6,1,18,0
2021/06/15,0,0,14,0
2021/06/16,5,0,19,0
2021/06/17,7,0,20,0
2021/06/18,2,0,14,0
2021/06/19,7,0,14,0
2021/06/20,2,0,9,0
2021/06/21,3,0,13,0
2021/06/22,3,0,15,0
2021/06/23,9,0,13,0
2021/06/24,9,0,14,0
2021/06/25,5,0,15,0
2021/06/26,4,0,13,0
2021/06/27,2,0,12,0
2021/06/28,5,0,4,0
2021/06/29,5,0,5,0
2021/06/30,5,0,11,0
2021/07/01,6,0,4,0
2021/07/02,7,0,3,0
2021/07/03,3,0,4,0
2021/07/04,10,0,1,0
2021/07/05,7,0,6,0
2021/07/06,8,0,2,0
2021/07/07,7,0,5,0
2021/07/08,13,0,3,0
2021/07/09,9,0,1,0
2021/07/10,9,0,1,0
2021/07/11,7,0,1,0
2021/07/12,18,0,8,0
2021/07/13,7,0,19,0
2021/07/14,4,0,56,0
2021/07/15,6,0,42,0
2021/07/16,8,0,53,0
2021/07/17,8,0,60,0
2021/07/18,4,0,88,0
2021/07/19,9,0,163,0
2021/07/20,13,0,182,0
2021/07/21,2,0,179,0
2021/07/22,8,0,162,0
2021/07/23,3,0,130,0
2021/07/24,3,0,127,0
2021/07/25,8,0,117,0
2021/07/26,6,0,129,0
2021/07/27,3,0,136,0
2021/07/28,6,0,130,0
2021/07/29,4,0,129,0
2021/07/30,8,0,131,0
2021/07/31,3,0,117,0
2021/08/01,8,0,113,0
2021/08/02,5,0,106,0
2021/08/03,4,0,98,0
2021/08/04,3,0,92,0
2021/08/05,3,0,92,0
2021/08/06,2,0,96,0
2021/08/07,4,0,93,0
2021/08/08,6,0,75,1
2021/08/09,5,0,73,0
2021/08/10,3,0,69,0
2021/08/11,1,0,53,0
2021/08/12,2,0,61,1
2021/08/13,0,0,59,0
2021/08/14,4,0,45,1
2021/08/15,1,0,57,0
2021/08/16,3,0,50,0
2021/08/17,5,0,48,0
2021/08/18,4,0,52,1
2021/08/19,4,0,49,1
2021/08/20,3,0,29,0
2021/08/21,0,0,36,1
2021/08/22,0,0,32,0
2021/08/23,0,0,29,2
2021/08/24,0,0,94,1
2021/08/25,0,0,111,0
2021/08/26,0,0,118,2
2021/08/27,0,0,112,0
2021/08/28,0,0,120,3
2021/08/29,0,0,113,0
2021/08/30,0,0,124,0
2021/08/31,0,0,147,0